ts,user_id,country_id,site_id
2019/2/1 0:01,LC36FC,TL6,N0OTG
2019/2/1 0:10,LC39B6,TL6,N0OTG
2019/2/1 0:21,LC3500,TL6,N0OTG
2019/2/1 0:22,LC374F,TL6,N0OTG
2019/2/1 0:23,LCC1C3,TL6,QGO3G
2019/2/1 0:24,LC3E1D,HVQ,GVOFK
2019/2/1 0:25,LC3561,TL6,3POLC
2019/2/1 0:29,LC3A01,TL6,N0OTG
2019/2/1 0:32,LC36FC,TL6,N0OTG
2019/2/1 0:35,LC3D80,TL6,N0OTG
2019/2/1 0:41,LC3B61,TL6,N0OTG
2019/2/1 0:41,LCC3C3,QLT,5NPAU
2019/2/1 0:42,LC39C8,TL6,QGO3G
2019/2/1 0:47,LC3C22,BDV,N0OTG
2019/2/1 0:56,LC3DA2,TL6,QGO3G
2019/2/1 0:57,LC31E1,TL6,N0OTG
2019/2/1 0:58,LC39CA,TL6,QGO3G
2019/2/1 1:07,LC35FB,TL6,N0OTG
2019/2/1 1:17,LC3EA8,TL6,N0OTG
2019/2/1 1:24,LC3212,TL6,N0OTG
2019/2/1 1:33,LC376D,TL6,N0OTG
2019/2/1 1:49,LC3C72,TL6,N0OTG
2019/2/1 1:53,LC3AFE,TL6,QGO3G
2019/2/1 1:55,LC3AD6,TL6,QGO3G
2019/2/1 1:55,LC39C5,HVQ,GVOFK
2019/2/1 2:01,LC3C1C,TL6,N0OTG
2019/2/1 2:02,LC3812,HVQ,GVOFK
2019/2/1 2:22,LC3DAD,TL6,N0OTG
2019/2/1 2:36,LC3DAD,TL6,N0OTG
2019/2/1 2:41,LC31D2,HVQ,GVOFK
2019/2/1 2:44,LC3C9C,TL6,QGO3G
2019/2/1 2:44,LC3C9C,TL6,QGO3G
2019/2/1 2:46,LC375A,BDV,5NPAU
2019/2/1 2:48,LC63C3,TL6,N0OTG
2019/2/1 2:56,LC3040,TL6,N0OTG
2019/2/1 2:56,LC3943,TL6,N0OTG
2019/2/1 3:02,LC35CC,TL6,N0OTG
2019/2/1 3:13,LC3E14,HVQ,GVOFK
2019/2/1 3:15,LC37EA,TL6,QGO3G
2019/2/1 3:16,LC37EA,TL6,QGO3G
2019/2/1 3:17,LC3833,TL6,N0OTG
2019/2/1 3:23,LC3943,TL6,QGO3G
2019/2/1 3:24,LC3494,TL6,N0OTG
2019/2/1 3:27,LCC389,XA7,N0OTG
2019/2/1 3:35,LC352D,TL6,N0OTG
2019/2/1 3:36,LC3C56,TL6,N0OTG
2019/2/1 3:39,LC3450,TL6,N0OTG
2019/2/1 3:39,LC35EA,TL6,N0OTG
2019/2/1 3:44,LC329C,TL6,N0OTG
2019/2/1 3:55,LC376D,TL6,N0OTG
2019/2/1 3:57,LC373F,TL6,QGO3G
2019/2/1 3:58,LC32BC,TL6,N0OTG
2019/2/1 4:07,LC31A1,TL6,QGO3G
2019/2/1 4:08,LC31A1,TL6,QGO3G
2019/2/1 4:13,LC3B84,TL6,N0OTG
2019/2/1 4:14,LC33DE,TL6,QGO3G
2019/2/1 4:23,LC3D62,TL6,N0OTG
2019/2/1 4:25,LC32C5,HVQ,GVOFK
2019/2/1 4:25,LC3212,TL6,N0OTG
2019/2/1 4:29,LC33A8,TL6,N0OTG
2019/2/1 4:30,LC3245,TL6,N0OTG
2019/2/1 4:37,LCBAC3,TL6,QGO3G
2019/2/1 4:38,LC5CC3,TL6,N0OTG
2019/2/1 4:39,LC305A,TL6,3POLC
2019/2/1 4:39,LC305A,TL6,3POLC
2019/2/1 4:41,LC305A,TL6,3POLC
2019/2/1 4:43,LC305A,TL6,3POLC
2019/2/1 4:44,LC305A,TL6,3POLC
2019/2/1 4:45,LC305A,TL6,3POLC
2019/2/1 4:47,LC3362,TL6,N0OTG
2019/2/1 4:50,LC3D26,TL6,N0OTG
2019/2/1 4:51,LC371C,TL6,QGO3G
2019/2/1 4:58,LC3781,TL6,N0OTG
2019/2/1 4:59,LC31ED,TL6,QGO3G
2019/2/1 5:02,LCC36E,QLT,N0OTG
2019/2/1 5:03,LC3913,TL6,QGO3G
2019/2/1 5:24,LC3E43,TL6,N0OTG
2019/2/1 5:26,LC3345,TL6,N0OTG
2019/2/1 5:30,LCC364,TL6,N0OTG
2019/2/1 5:31,LCC36E,QLT,N0OTG
2019/2/1 5:38,LCDC3A,TL6,N0OTG
2019/2/1 5:38,LC3872,TL6,QGO3G
2019/2/1 6:17,LC3E0C,QLT,N0OTG
2019/2/1 6:20,LCC3E6,QLT,5NPAU
2019/2/1 6:30,LC311C,TL6,N0OTG
2019/2/1 6:32,LC333E,TL6,3POLC
2019/2/1 6:37,LC3A05,QLT,5NPAU
2019/2/1 6:44,LC392E,BDV,N0OTG
2019/2/1 7:36,LC3FAE,BDV,5NPAU
2019/2/1 7:38,LCAC3B,XA7,N0OTG
2019/2/1 7:55,LC3376,TL6,N0OTG
2019/2/1 8:40,LC399E,TL6,N0OTG
2019/2/1 8:44,LC3066,HVQ,GVOFK
2019/2/1 8:53,LC3964,QLT,5NPAU
2019/2/1 8:58,LC3AFF,BDV,3POLC
2019/2/1 9:07,LC3B5D,BDV,5NPAU
2019/2/1 9:12,LC22C3,TL6,3POLC
2019/2/1 9:16,LC322C,TL6,N0OTG
2019/2/1 9:24,LC3DA1,QLT,5NPAU
2019/2/1 9:30,LC3024,QLT,5NPAU
2019/2/1 9:34,LC3B5A,QLT,N0OTG
2019/2/1 9:45,LC3F96,TL6,N0OTG
2019/2/1 9:52,LC3E8F,TL6,N0OTG
2019/2/1 9:52,LC37C6,QLT,5NPAU
2019/2/1 9:54,LC3008,TL6,N0OTG
2019/2/1 9:59,LC3008,TL6,N0OTG
2019/2/1 10:05,LC3BA6,QLT,5NPAU
2019/2/1 10:06,LC7C30,BDV,5NPAU
2019/2/1 10:09,LC3ADC,TL6,N0OTG
2019/2/1 10:19,LC39E2,QLT,3POLC
2019/2/1 10:43,LC35E8,QLT,5NPAU
2019/2/1 10:43,LC35E8,QLT,5NPAU
2019/2/1 10:43,LC35E8,QLT,5NPAU
